geometry,timestamp,gemeinde,ziel_geometry
POINT (2694581.8002341324 1239041.296638676),2018-04-20 22:43:35,Egg,POINT (2692318.5060542864 1236668.590788645)
POINT (2694151.202804763 1240134.524066332),2018-04-20 13:37:07,Egg,POINT (2692633.7343282225 1235479.0793505753)
POINT (2694389.4589654338 1239450.5219237967),2018-04-20 10:27:39,Egg,POINT (2695888.6701111863 1246178.5353794969)
POINT (2694615.7931088475 1239723.5898739498),2018-04-20 18:01:07,Egg,POINT (2693858.972945673 1247654.5201632655)
POINT (2694148.5703675556 1240346.7810548947),2018-04-21 05:08:05,Egg,POINT (2692318.5060542864 1236668.590788645)
POINT (2696271.388573553 1238591.5155168795),2018-04-21 08:06:45,Egg,POINT (2692424.523196086 1236648.398335327)
POINT (2694148.5703675556 1240346.7810548947),2018-04-20 21:23:47,Egg,POINT (2695547.0627654535 1244396.6018125124)
POINT (2694445.8467396456 1239636.7900895472),2018-04-21 03:55:08,Egg,POINT (2692424.523196086 1236648.398335327)
POINT (2694474.1287283716 1239850.8202689763),2018-04-21 06:57:13,Egg,POINT (2689620.6517979284 1236927.5651290817)
POINT (2694382.115369497 1239941.2955748495),2018-04-21 08:40:16,Egg,POINT (2698652.3607522734 1246391.5206185395)
POINT (2694751.001498196 1239149.5633085659),2018-04-20 14:41:04,Egg,POINT (2691826.032852045 1235729.9549192372)
POINT (2696333.0760441776 1238481.526601014),2018-04-20 20:37:47,Egg,POINT (2689307.5098287123 1237515.1366709154)
POINT (2696242.0343386177 1238244.2316657188),2018-04-20 12:58:37,Egg,POINT (2696789.609912058 1246458.2354563645)
POINT (2693846.3600044483 1240563.9290817848),2018-04-21 06:31:35,Egg,POINT (2695801.985335151 1245870.5727615121)
POINT (2693976.2612200705 1240253.1055976718),2018-04-20 17:07:54,Egg,POINT (2692215.684162509 1235902.1032508311)
POINT (2694254.1970558143 1239205.460188066),2018-04-21 07:26:43,Egg,POINT (2689732.382734583 1236910.8860489724)
POINT (2695044.776317351 1244951.21172777),2018-04-20 19:06:06,Uster,POINT (2692241.351027946 1235624.143852777)
POINT (2698777.87750361 1246537.4980158948),2018-04-20 20:22:36,Uster,POINT (2691059.4472328695 1236248.7474974613)
POINT (2694478.1173386024 1247906.3214020827),2018-04-20 12:58:21,Uster,POINT (2694212.1488822824 1240392.6264766192)
POINT (2696533.6082410826 1244064.951446884),2018-04-21 09:55:35,Uster,POINT (2694148.5703675556 1240346.7810548947)
POINT (2695064.217650272 1244609.4034298665),2018-04-20 18:40:36,Uster,POINT (2691391.0766408932 1236161.7051304248)
POINT (2693836.497451373 1247850.5948918606),2018-04-21 06:05:44,Uster,POINT (2692883.5108409054 1235362.0052153424)
POINT (2696068.4061848093 1246028.327346386),2018-04-21 06:10:56,Uster,POINT (2692740.146291106 1235478.7682782894)
POINT (2696533.6082410826 1244064.951446884),2018-04-20 21:34:25,Uster,POINT (2694609.751670501 1239613.9681586307)
POINT (2696752.7020553965 1244837.2344953648),2018-04-20 22:57:34,Uster,POINT (2692241.351027946 1235624.143852777)
POINT (2695469.9496175093 1244431.97247018),2018-04-20 10:29:10,Uster,POINT (2692086.397963089 1235886.8099935767)
POINT (2697552.3487393362 1244044.126367204),2018-04-20 15:28:45,Uster,POINT (2694148.5703675556 1240346.7810548947)
POINT (2695848.266532175 1245376.7032427068),2018-04-20 20:40:52,Uster,POINT (2692446.4256840814 1235613.2935652272)
POINT (2694528.3304449134 1247666.023721116),2018-04-21 03:03:56,Uster,POINT (2694603.0340957404 1239520.8954906354)
POINT (2696527.784876971 1245658.2296409942),2018-04-20 12:14:00,Uster,POINT (2694148.5703675556 1240346.7810548947)
POINT (2697909.036872703 1243992.5489886126),2018-04-20 21:40:00,Uster,POINT (2692504.577855252 1235670.5698019192)
POINT (2693942.9871020815 1247156.6125475825),2018-04-20 13:09:28,Uster,POINT (2692674.7042844533 1235433.908371346)
POINT (2697220.6514972984 1245096.8577144626),2018-04-20 21:31:38,Uster,POINT (2692296.802313879 1235607.571345534)
POINT (2692296.802313879 1235607.571345534),2018-04-21 06:20:29,Meilen,POINT (2694654.5642222906 1246863.0304826973)
POINT (2692296.802313879 1235607.571345534),2018-04-20 18:46:52,Meilen,POINT (2694609.0538518457 1246929.4422019199)
POINT (2692633.7343282225 1235479.0793505753),2018-04-21 09:10:54,Meilen,POINT (2694731.2889362224 1240020.2431289034)
POINT (2690960.6068272744 1236334.3359776682),2018-04-21 02:07:38,Meilen,POINT (2696577.993431221 1244659.3504847384)
POINT (2689318.493556787 1237346.0825819047),2018-04-21 07:31:51,Meilen,POINT (2696901.5995148188 1244703.3072328493)
